image,class,confidence,severity,area_%
Hefei10029.jpg,crack,0.467,LOW,0.24
Hefei10029.jpg,crack,0.3922,HIGH,1.86
Hefei10029.jpg,crack,0.3774,HIGH,1.45
Hefei10035.jpg,crack,0.7282,LOW,2.19
Hefei10035.jpg,crack,0.6737,LOW,1.02
Hefei10035.jpg,crack,0.5848,LOW,1.69
Hefei10035.jpg,crack,0.4891,LOW,0.88
Hefei10035.jpg,crack,0.4822,LOW,2.98
Hefei10035.jpg,crack,0.4723,LOW,0.24
Hefei10035.jpg,crack,0.4545,LOW,0.17
Hefei10035.jpg,crack,0.3567,HIGH,0.17
Hefei10035.jpg,crack,0.3169,HIGH,3.2
Hefei10035.jpg,crack,0.3082,HIGH,0.12
Hefei10035.jpg,crack,0.272,HIGH,0.09
Hefei10035.jpg,crack,0.2598,HIGH,0.64
Hefei10035.jpg,crack,0.2539,HIGH,0.51
Hefei10036.jpg,crack,0.7447,LOW,2.09
Hefei10036.jpg,crack,0.6652,LOW,1.71
Hefei10036.jpg,crack,0.6598,LOW,0.95
Hefei10036.jpg,crack,0.5164,LOW,0.91
Hefei10036.jpg,crack,0.5043,LOW,1.83
Hefei10036.jpg,crack,0.4815,LOW,0.17
Hefei10036.jpg,crack,0.4308,HIGH,0.17
Hefei10036.jpg,crack,0.3979,HIGH,0.24
Hefei10036.jpg,crack,0.3922,HIGH,3.36
Hefei10036.jpg,crack,0.2987,HIGH,0.17
Hefei10036.jpg,crack,0.2943,HIGH,0.51
Hefei10036.jpg,crack,0.2701,HIGH,0.13
Hefei10045.jpg,crack,0.7767,LOW,0.52
Hefei10045.jpg,crack,0.7559,LOW,1.49
Hefei10045.jpg,crack,0.7442,LOW,1.41
Hefei10045.jpg,crack,0.6418,LOW,0.51
Hefei10045.jpg,crack,0.6233,LOW,0.6
Hefei10045.jpg,crack,0.6134,LOW,0.35
Hefei10045.jpg,crack,0.4526,LOW,0.19
Hefei10045.jpg,crack,0.4208,HIGH,0.26
Hefei10045.jpg,crack,0.3565,HIGH,0.58
Hefei10045.jpg,crack,0.253,HIGH,0.48
Hefei1005.jpg,leakage,0.7917,MEDIUM,7.77
Hefei1005.jpg,abscission,0.7573,LOW,0.92
Hefei10079.jpg,crack,0.7394,LOW,1.26
Hefei10079.jpg,crack,0.6394,LOW,1.56
Hefei10079.jpg,crack,0.5571,LOW,0.45
Hefei10079.jpg,crack,0.541,LOW,0.77
Hefei10084.jpg,crack,0.5908,LOW,1.47
Hefei10084.jpg,crack,0.5787,LOW,0.73
Hefei10084.jpg,crack,0.485,LOW,0.69
Hefei10084.jpg,crack,0.4134,HIGH,0.39
Hefei10084.jpg,crack,0.4016,HIGH,1.08
Hefei10084.jpg,crack,0.2696,HIGH,0.57
Hefei10084.jpg,crack,0.2543,HIGH,0.15
Hefei10093.jpg,crack,0.8038,LOW,2.29
Hefei10093.jpg,crack,0.7988,MEDIUM,13.41
Hefei10093.jpg,crack,0.7336,LOW,0.93
Hefei10093.jpg,crack,0.6315,LOW,1.31
Hefei10093.jpg,crack,0.4326,HIGH,9.38
Hefei10093.jpg,crack,0.4003,HIGH,8.82
Hefei10102.jpg,crack,0.7953,MEDIUM,13.09
Hefei10102.jpg,crack,0.7924,LOW,2.17
Hefei10102.jpg,crack,0.772,LOW,0.91
Hefei10102.jpg,crack,0.7571,LOW,1.2
Hefei10102.jpg,crack,0.3796,HIGH,8.67
Hefei10112.jpg,crack,0.8068,MEDIUM,12.84
Hefei10112.jpg,crack,0.7965,LOW,0.87
Hefei10112.jpg,crack,0.7917,LOW,2.26
Hefei10112.jpg,crack,0.728,LOW,0.98
Hefei10112.jpg,crack,0.3617,HIGH,8.23
Hefei10112.jpg,crack,0.2568,HIGH,9.63
Hefei10134.jpg,crack,0.6959,MEDIUM,7.82
Hefei10134.jpg,crack,0.5368,LOW,0.99
Hefei10134.jpg,crack,0.278,HIGH,1.2
Hefei10134.jpg,crack,0.2561,HIGH,7.93
Hefei1014.jpg,leakage,0.7855,MEDIUM,8.34
Hefei1014.jpg,abscission,0.7673,LOW,0.99
Hefei10147.jpg,crack,0.8157,LOW,4.68
Hefei10147.jpg,crack,0.6803,LOW,3.02
Hefei10147.jpg,crack,0.6733,MEDIUM,5.54
Hefei10147.jpg,crack,0.6575,LOW,3.59
Hefei10147.jpg,crack,0.6134,LOW,0.63
Hefei10147.jpg,crack,0.6088,LOW,2.88
Hefei10147.jpg,crack,0.6086,LOW,1.2
Hefei10147.jpg,crack,0.6012,LOW,1.11
Hefei10147.jpg,crack,0.588,LOW,3.12
Hefei10147.jpg,crack,0.5859,LOW,3.44
Hefei10147.jpg,crack,0.3506,HIGH,4.32
Hefei10147.jpg,crack,0.2786,HIGH,3.75
Hefei10167.jpg,crack,0.8392,LOW,4.32
Hefei10167.jpg,crack,0.7058,LOW,3.98
Hefei10167.jpg,crack,0.6569,LOW,0.96
Hefei10167.jpg,crack,0.6426,LOW,2.44
Hefei10167.jpg,crack,0.6359,LOW,1.03
Hefei10167.jpg,crack,0.6358,LOW,0.82
Hefei10167.jpg,crack,0.6314,LOW,0.94
Hefei10167.jpg,crack,0.5839,LOW,4.86
Hefei10167.jpg,crack,0.5816,LOW,3.11
Hefei10167.jpg,crack,0.566,MEDIUM,5.03
Hefei10167.jpg,crack,0.5474,LOW,3.62
Hefei10167.jpg,crack,0.5011,MEDIUM,6.68
Hefei10167.jpg,crack,0.4025,HIGH,0.99
Hefei10167.jpg,crack,0.3036,HIGH,4.32
Hefei10167.jpg,crack,0.2882,HIGH,0.71
Hefei10167.jpg,crack,0.2756,HIGH,7.32
Hefei10167.jpg,crack,0.2662,HIGH,2.78
Hefei10167.jpg,crack,0.2571,HIGH,0.7
Hefei10178.jpg,crack,0.8107,LOW,4.43
Hefei10178.jpg,crack,0.669,LOW,1.05
Hefei10178.jpg,crack,0.6637,LOW,2.43
Hefei10178.jpg,crack,0.6627,LOW,4.44
Hefei10178.jpg,crack,0.6547,LOW,0.83
Hefei10178.jpg,crack,0.639,LOW,0.94
Hefei10178.jpg,crack,0.6288,MEDIUM,6.98
Hefei10178.jpg,crack,0.6225,LOW,0.97
Hefei10178.jpg,crack,0.5127,LOW,3.9
Hefei10178.jpg,crack,0.508,MEDIUM,5.26
Hefei10178.jpg,crack,0.4247,HIGH,4.6
Hefei10178.jpg,crack,0.4226,HIGH,0.68
Hefei10178.jpg,crack,0.4028,HIGH,1.59
Hefei10178.jpg,crack,0.3484,HIGH,1.08
Hefei10178.jpg,crack,0.3241,HIGH,2.79
Hefei10184.jpg,crack,0.8198,LOW,1.32
Hefei10184.jpg,crack,0.7422,LOW,1.06
Hefei10184.jpg,crack,0.7126,LOW,0.27
Hefei10184.jpg,abscission,0.6969,LOW,0.19
Hefei10184.jpg,crack,0.6901,LOW,0.46
Hefei10184.jpg,crack,0.6821,LOW,1.08
Hefei102.jpg,corrosion,0.731,LOW,0.23
Hefei102.jpg,corrosion,0.7145,LOW,0.56
Hefei102.jpg,corrosion,0.6213,LOW,0.16
Hefei102.jpg,corrosion,0.5693,LOW,0.31
Hefei102.jpg,corrosion,0.5647,LOW,0.12
Hefei10205.jpg,abscission,0.7918,HIGH,20.23
Hefei10205.jpg,abscission,0.7314,LOW,2.76
Hefei10205.jpg,abscission,0.5874,LOW,4.83
Hefei10214.jpg,crack,0.8697,LOW,2.09
Hefei10223.jpg,crack,0.8791,LOW,2.2
Hefei10251.jpg,crack,0.7362,LOW,0.4
Hefei10251.jpg,crack,0.6837,LOW,0.22
Hefei10251.jpg,crack,0.6804,LOW,0.29
Hefei10283.jpg,crack,0.7084,LOW,0.91
Hefei10285.jpg,crack,0.702,LOW,0.92
Hefei10286.jpg,crack,0.7001,LOW,0.97
Hefei10298.jpg,crack,0.669,LOW,0.94
Hefei10302.jpg,crack,0.6765,LOW,0.9
Hefei10307.jpg,crack,0.6892,LOW,0.92
Hefei10346.jpg,crack,0.8863,HIGH,16.67
Hefei10346.jpg,crack,0.7458,LOW,0.75
Hefei10358.jpg,crack,0.8939,HIGH,18.22
Hefei10358.jpg,crack,0.8286,LOW,1.96
Hefei10363.jpg,crack,0.9002,HIGH,15.81
Hefei10363.jpg,crack,0.8311,LOW,2.12
Hefei10366.jpg,crack,0.8927,MEDIUM,14.28
Hefei10366.jpg,crack,0.8176,LOW,2.21
Hefei10376.jpg,crack,0.9186,LOW,4.94
Hefei10376.jpg,crack,0.822,LOW,2.09
Hefei10379.jpg,crack,0.8534,LOW,2.01
Hefei10379.jpg,crack,0.8196,LOW,2.11
Hefei10389.jpg,crack,0.6173,LOW,0.53
Hefei10389.jpg,crack,0.376,HIGH,0.67
Hefei10389.jpg,crack,0.3646,HIGH,0.43
Hefei10395.jpg,crack,0.6431,LOW,0.42
Hefei10395.jpg,crack,0.6351,LOW,0.49
Hefei10395.jpg,crack,0.4553,LOW,0.58
Hefei10398.jpg,crack,0.6575,LOW,0.52
Hefei10398.jpg,crack,0.6192,LOW,1.16
Hefei10398.jpg,crack,0.5906,LOW,0.38
Hefei10398.jpg,crack,0.4221,HIGH,0.58
Hefei10398.jpg,crack,0.3543,HIGH,0.29
Hefei10404.jpg,crack,0.6335,LOW,0.46
Hefei10404.jpg,crack,0.6115,LOW,0.35
Hefei10404.jpg,crack,0.4413,HIGH,1.48
Hefei10404.jpg,crack,0.3976,HIGH,0.8
Hefei10404.jpg,crack,0.3359,HIGH,0.1
Hefei10404.jpg,crack,0.3096,HIGH,0.3
Hefei10420.jpg,crack,0.6725,LOW,2.11
Hefei10422.jpg,crack,0.6804,LOW,2.21
Hefei10424.jpg,crack,0.6761,LOW,2.07
Hefei10425.jpg,crack,0.669,LOW,2.04
Hefei10437.jpg,crack,0.6663,LOW,1.25
Hefei10455.jpg,crack,0.7968,LOW,4.69
Hefei10455.jpg,crack,0.7262,MEDIUM,5.4
Hefei10455.jpg,crack,0.6365,MEDIUM,6.29
Hefei10455.jpg,crack,0.6231,LOW,4.54
Hefei10455.jpg,crack,0.5372,LOW,3.2
Hefei10455.jpg,crack,0.4712,MEDIUM,5.16
Hefei10455.jpg,crack,0.4388,HIGH,2.87
Hefei10455.jpg,crack,0.4114,HIGH,10.35
Hefei10455.jpg,crack,0.3947,HIGH,0.68
Hefei10460.jpg,crack,0.7244,MEDIUM,5.35
Hefei10460.jpg,crack,0.7238,MEDIUM,5.23
Hefei10460.jpg,crack,0.6929,HIGH,17.3
Hefei10460.jpg,crack,0.66,LOW,4.16
Hefei10460.jpg,crack,0.5443,LOW,0.71
Hefei10460.jpg,crack,0.5303,LOW,3.26
Hefei10460.jpg,crack,0.4796,LOW,4.76
Hefei10460.jpg,crack,0.3272,HIGH,2.45
Hefei10460.jpg,crack,0.3064,HIGH,6.69
Hefei10460.jpg,crack,0.2676,HIGH,1.79
Hefei10466.jpg,crack,0.8151,HIGH,22.69
Hefei10466.jpg,crack,0.7469,MEDIUM,5.35
Hefei10466.jpg,crack,0.7094,LOW,3.93
Hefei10466.jpg,leakage,0.6668,MEDIUM,12.63
Hefei10466.jpg,crack,0.5877,MEDIUM,5.53
Hefei10466.jpg,crack,0.5617,LOW,3.33
Hefei10466.jpg,crack,0.5534,MEDIUM,6.44
Hefei10466.jpg,crack,0.4194,HIGH,10.97
Hefei10466.jpg,crack,0.3883,HIGH,1.72
Hefei10466.jpg,crack,0.3115,HIGH,4.56
Hefei10466.jpg,crack,0.2513,HIGH,1.12
Hefei10470.jpg,crack,0.8562,HIGH,24.52
Hefei10470.jpg,leakage,0.7265,MEDIUM,12.53
Hefei10470.jpg,crack,0.7188,LOW,3.94
Hefei10470.jpg,crack,0.7154,MEDIUM,5.18
Hefei10470.jpg,crack,0.5775,MEDIUM,6.73
Hefei10470.jpg,crack,0.5165,LOW,3.27
Hefei10470.jpg,crack,0.4501,MEDIUM,13.74
Hefei10470.jpg,crack,0.4362,HIGH,4.59
Hefei10470.jpg,crack,0.4137,HIGH,5.26
Hefei10479.jpg,crack,0.6911,LOW,4.3
Hefei10479.jpg,abscission,0.1887,HIGH,0.23
Hefei10527.jpg,abscission,0.8209,LOW,0.54
Hefei10527.jpg,abscission,0.5872,LOW,0.1
Hefei10527.jpg,abscission,0.5586,LOW,0.09
Hefei10527.jpg,crack,0.5538,LOW,0.5
Hefei10527.jpg,abscission,0.4643,LOW,0.23
Hefei10527.jpg,crack,0.4542,MEDIUM,6.27
Hefei10527.jpg,crack,0.3524,HIGH,5.09
Hefei10527.jpg,crack,0.3389,HIGH,0.19
Hefei10527.jpg,crack,0.3067,HIGH,4.16
Hefei10527.jpg,abscission,0.2576,HIGH,0.08
Hefei10529.jpg,abscission,0.8501,LOW,1.11
Hefei10529.jpg,abscission,0.7132,LOW,0.19
Hefei10529.jpg,abscission,0.6981,LOW,0.16
Hefei10529.jpg,abscission,0.6374,LOW,0.15
Hefei10529.jpg,crack,0.6187,LOW,0.95
Hefei10529.jpg,abscission,0.5998,LOW,0.93
Hefei10529.jpg,abscission,0.5678,LOW,1.07
Hefei10529.jpg,abscission,0.5387,LOW,0.03
Hefei10529.jpg,abscission,0.2444,HIGH,2.36
Hefei10539.jpg,crack,0.7005,LOW,4.22
Hefei10539.jpg,crack,0.6609,LOW,1.1
Hefei10539.jpg,crack,0.3546,HIGH,2.04
Hefei10539.jpg,crack,0.2746,HIGH,2.12
Hefei10539.jpg,abscission,0.1563,HIGH,0.51
Hefei10543.jpg,crack,0.7883,LOW,4.9
Hefei10543.jpg,crack,0.7141,MEDIUM,6.41
Hefei10543.jpg,crack,0.6896,LOW,1.73
Hefei10543.jpg,crack,0.6823,MEDIUM,5.03
Hefei10561.jpg,crack,0.8372,MEDIUM,14.22
Hefei10561.jpg,crack,0.833,HIGH,16.0
Hefei10561.jpg,crack,0.7235,HIGH,26.58
Hefei10569.jpg,crack,0.8351,MEDIUM,14.35
Hefei10569.jpg,crack,0.8328,MEDIUM,8.17
Hefei10569.jpg,crack,0.8229,MEDIUM,14.88
Hefei10569.jpg,crack,0.7304,MEDIUM,11.37
Hefei10569.jpg,crack,0.5702,HIGH,17.32
Hefei10569.jpg,crack,0.4621,LOW,3.78
Hefei10584.jpg,crack,0.7637,HIGH,25.99
Hefei10584.jpg,crack,0.7401,MEDIUM,7.71
Hefei10584.jpg,crack,0.4995,LOW,4.11
Hefei10584.jpg,crack,0.3117,HIGH,22.28
Hefei10586.jpg,crack,0.8056,MEDIUM,7.46
Hefei10586.jpg,crack,0.7711,LOW,3.37
Hefei10586.jpg,crack,0.547,MEDIUM,6.48
Hefei10586.jpg,crack,0.4252,HIGH,25.05
Hefei10586.jpg,crack,0.2508,HIGH,15.18
Hefei10591.jpg,crack,0.8779,HIGH,25.94
Hefei10591.jpg,crack,0.4889,MEDIUM,5.76
Hefei10591.jpg,crack,0.3034,HIGH,5.74
Hefei10602.jpg,crack,0.7496,MEDIUM,6.24
Hefei10614.jpg,crack,0.7431,MEDIUM,6.4
Hefei10638.jpg,crack,0.8787,HIGH,30.11
Hefei10641.jpg,crack,0.8539,HIGH,26.15
Hefei10648.jpg,crack,0.7698,MEDIUM,13.83
Hefei10648.jpg,crack,0.6806,MEDIUM,9.5
Hefei10648.jpg,crack,0.6048,LOW,0.49
Hefei10648.jpg,crack,0.5243,LOW,3.18
Hefei10648.jpg,crack,0.4467,HIGH,6.11
Hefei10648.jpg,crack,0.3233,HIGH,0.55
Hefei10648.jpg,crack,0.3137,HIGH,0.9
Hefei10652.jpg,crack,0.772,LOW,2.92
Hefei10652.jpg,crack,0.2982,HIGH,16.05
Hefei10669.jpg,crack,0.7111,MEDIUM,13.89
Hefei10669.jpg,abscission,0.7015,LOW,0.22
Hefei10669.jpg,abscission,0.7003,LOW,0.48
Hefei10669.jpg,abscission,0.6951,LOW,0.48
Hefei10669.jpg,abscission,0.6866,LOW,0.31
Hefei10669.jpg,abscission,0.6117,LOW,0.17
Hefei10669.jpg,abscission,0.5826,LOW,0.11
Hefei10669.jpg,abscission,0.5712,LOW,0.74
Hefei10669.jpg,crack,0.5429,MEDIUM,10.31
Hefei10669.jpg,abscission,0.523,LOW,0.14
Hefei10673.jpg,abscission,0.7387,LOW,0.31
Hefei10673.jpg,abscission,0.7315,LOW,0.51
Hefei10673.jpg,crack,0.7167,MEDIUM,13.47
Hefei10673.jpg,abscission,0.641,LOW,0.15
Hefei10676.jpg,crack,0.6966,MEDIUM,9.89
Hefei10676.jpg,crack,0.2504,HIGH,6.19
Hefei10676.jpg,abscission,0.159,HIGH,0.25
Hefei1068.jpg,leakage,0.7998,MEDIUM,14.31
Hefei1068.jpg,leakage,0.7806,MEDIUM,7.09
Hefei10692.jpg,crack,0.8142,LOW,1.48
Hefei10692.jpg,crack,0.7014,LOW,1.81
Hefei10692.jpg,crack,0.5633,LOW,0.8
Hefei10692.jpg,crack,0.5586,LOW,1.43
Hefei10692.jpg,crack,0.4793,LOW,1.32
Hefei10692.jpg,crack,0.3855,HIGH,1.14
Hefei10692.jpg,crack,0.3574,HIGH,1.3
Hefei10692.jpg,crack,0.3481,HIGH,0.77
Hefei10692.jpg,crack,0.3234,HIGH,0.08
Hefei10737.jpg,crack,0.6972,LOW,2.26
Hefei10738.jpg,crack,0.6829,LOW,2.63
Hefei10739.jpg,crack,0.7051,LOW,2.81
Hefei10743.jpg,crack,0.6491,LOW,3.6
Hefei10747.jpg,crack,0.6243,LOW,4.19
Hefei10755.jpg,crack,0.5951,LOW,3.35
Hefei10759.jpg,leakage,0.6403,LOW,2.0
Hefei10759.jpg,leakage,0.6381,LOW,2.82
Hefei10759.jpg,leakage,0.5323,MEDIUM,10.25
Hefei10759.jpg,leakage,0.5279,LOW,2.1
Hefei10759.jpg,leakage,0.5184,LOW,2.1
Hefei10759.jpg,leakage,0.5164,LOW,1.95
Hefei10759.jpg,leakage,0.3954,HIGH,4.24
Hefei10766.jpg,leakage,0.7434,LOW,2.7
Hefei10766.jpg,leakage,0.7073,LOW,4.31
Hefei10766.jpg,leakage,0.6795,LOW,2.04
Hefei10766.jpg,leakage,0.6738,LOW,1.89
Hefei10766.jpg,leakage,0.667,LOW,1.71
Hefei10766.jpg,leakage,0.631,LOW,2.05
Hefei10766.jpg,leakage,0.6141,LOW,1.82
Hefei10766.jpg,leakage,0.5151,LOW,4.15
Hefei10789.jpg,leakage,0.7448,LOW,2.15
Hefei10789.jpg,leakage,0.7163,LOW,2.0
Hefei10789.jpg,leakage,0.7112,LOW,1.76
Hefei10789.jpg,leakage,0.7057,LOW,1.25
Hefei10789.jpg,leakage,0.7041,LOW,1.81
Hefei10789.jpg,leakage,0.7032,LOW,1.89
Hefei10789.jpg,leakage,0.6992,LOW,1.6
Hefei10789.jpg,leakage,0.6992,LOW,1.32
Hefei10789.jpg,leakage,0.6963,LOW,1.05
Hefei10789.jpg,leakage,0.6656,LOW,1.01
Hefei10789.jpg,leakage,0.6384,LOW,1.83
Hefei10789.jpg,leakage,0.4244,HIGH,2.36
Hefei10789.jpg,leakage,0.3617,HIGH,1.51
Hefei10797.jpg,leakage,0.6241,LOW,1.43
Hefei10797.jpg,leakage,0.5668,LOW,4.27
Hefei10797.jpg,leakage,0.4237,HIGH,4.34
Hefei10797.jpg,leakage,0.3926,HIGH,4.47
Hefei10797.jpg,leakage,0.3881,HIGH,3.94
Hefei10797.jpg,leakage,0.374,HIGH,4.17
Hefei10797.jpg,leakage,0.3615,HIGH,5.91
Hefei10797.jpg,leakage,0.3276,HIGH,4.29
Hefei10797.jpg,leakage,0.3268,HIGH,4.35
Hefei10797.jpg,leakage,0.273,HIGH,4.07
Hefei10797.jpg,leakage,0.2608,HIGH,3.71
Hefei10798.jpg,leakage,0.6978,LOW,1.21
Hefei10798.jpg,leakage,0.4554,LOW,3.54
Hefei10798.jpg,leakage,0.3887,HIGH,4.52
Hefei10798.jpg,leakage,0.334,HIGH,4.06
Hefei10798.jpg,leakage,0.3295,HIGH,4.23
Hefei10798.jpg,leakage,0.3245,HIGH,4.03
Hefei10798.jpg,leakage,0.3184,HIGH,5.51
Hefei10798.jpg,leakage,0.3122,HIGH,4.47
Hefei10798.jpg,leakage,0.298,HIGH,3.88
Hefei10798.jpg,leakage,0.2971,HIGH,3.8
Hefei10798.jpg,leakage,0.2925,HIGH,1.57
Hefei10798.jpg,leakage,0.2631,HIGH,2.29
Hefei10798.jpg,leakage,0.2574,HIGH,3.68
Hefei10801.jpg,leakage,0.6377,LOW,1.09
Hefei10801.jpg,leakage,0.516,LOW,3.41
Hefei10801.jpg,leakage,0.4325,HIGH,3.97
Hefei10801.jpg,leakage,0.4114,HIGH,4.5
Hefei10801.jpg,leakage,0.383,HIGH,5.0
Hefei10801.jpg,leakage,0.3629,HIGH,1.75
Hefei10801.jpg,leakage,0.3544,HIGH,2.74
Hefei10801.jpg,leakage,0.3534,HIGH,1.95
Hefei10801.jpg,leakage,0.3447,HIGH,2.11
Hefei10801.jpg,leakage,0.3158,HIGH,4.03
Hefei10801.jpg,leakage,0.307,HIGH,4.76
Hefei10801.jpg,leakage,0.2947,HIGH,1.19
Hefei10801.jpg,leakage,0.2804,HIGH,2.06
Hefei10801.jpg,leakage,0.2762,HIGH,2.42
Hefei10801.jpg,leakage,0.2566,HIGH,2.22
Hefei10822.jpg,leakage,0.749,LOW,2.59
Hefei10822.jpg,leakage,0.7276,LOW,1.64
Hefei10822.jpg,leakage,0.7118,LOW,1.71
Hefei10822.jpg,leakage,0.7101,LOW,1.7
Hefei10822.jpg,leakage,0.6996,LOW,1.2
Hefei10822.jpg,leakage,0.6811,LOW,1.22
Hefei10822.jpg,leakage,0.6781,LOW,1.43
Hefei10825.jpg,leakage,0.7679,LOW,2.52
Hefei10825.jpg,leakage,0.7176,LOW,1.59
Hefei10825.jpg,leakage,0.694,LOW,1.69
Hefei10825.jpg,leakage,0.6877,LOW,1.46
Hefei10825.jpg,leakage,0.6792,LOW,1.22
Hefei10836.jpg,leakage,0.8658,MEDIUM,5.41
Hefei10836.jpg,leakage,0.8145,LOW,3.93
Hefei10836.jpg,leakage,0.5469,LOW,2.95
Hefei10836.jpg,leakage,0.5114,LOW,3.06
Hefei10836.jpg,leakage,0.4467,HIGH,3.25
Hefei10836.jpg,leakage,0.3299,HIGH,2.91
Hefei10836.jpg,leakage,0.2886,HIGH,5.12
Hefei10840.jpg,leakage,0.8609,MEDIUM,5.38
Hefei10840.jpg,leakage,0.8194,LOW,3.97
Hefei10840.jpg,leakage,0.6462,LOW,3.14
Hefei10840.jpg,leakage,0.6036,LOW,3.11
Hefei10840.jpg,leakage,0.5673,LOW,2.93
Hefei10840.jpg,leakage,0.3997,HIGH,3.0
Hefei10840.jpg,leakage,0.2523,HIGH,4.57
Hefei10852.jpg,leakage,0.7942,LOW,4.1
Hefei10852.jpg,leakage,0.7912,LOW,2.12
Hefei10852.jpg,leakage,0.7479,LOW,4.73
Hefei10852.jpg,leakage,0.6848,MEDIUM,5.03
Hefei10852.jpg,leakage,0.6802,MEDIUM,5.05
Hefei10860.jpg,leakage,0.7824,LOW,1.62
Hefei10860.jpg,leakage,0.7635,LOW,1.27
Hefei10860.jpg,leakage,0.7462,LOW,1.39
Hefei10860.jpg,leakage,0.7399,LOW,1.26
Hefei10860.jpg,leakage,0.7358,LOW,2.26
Hefei10860.jpg,leakage,0.7356,LOW,1.26
Hefei10860.jpg,leakage,0.7298,LOW,1.33
Hefei10860.jpg,leakage,0.7058,LOW,1.24
Hefei10860.jpg,leakage,0.6808,LOW,1.03
Hefei10860.jpg,leakage,0.6801,LOW,1.15
Hefei10860.jpg,leakage,0.6538,LOW,1.04
Hefei10862.jpg,leakage,0.8001,LOW,1.64
Hefei10862.jpg,leakage,0.7613,LOW,2.32
Hefei10862.jpg,leakage,0.7417,LOW,1.27
Hefei10862.jpg,leakage,0.7347,LOW,1.39
Hefei10862.jpg,leakage,0.7309,LOW,1.37
Hefei10862.jpg,leakage,0.7283,LOW,1.27
Hefei10862.jpg,leakage,0.7256,LOW,1.2
Hefei10862.jpg,leakage,0.7211,LOW,1.32
Hefei10862.jpg,leakage,0.7029,LOW,1.19
Hefei10862.jpg,leakage,0.6949,LOW,1.07
Hefei10862.jpg,leakage,0.6623,LOW,1.08
Hefei10866.jpg,leakage,0.7718,LOW,1.7
Hefei10866.jpg,leakage,0.7559,LOW,2.18
Hefei10866.jpg,leakage,0.7496,LOW,1.24
Hefei10866.jpg,leakage,0.7482,LOW,1.38
Hefei10866.jpg,leakage,0.7466,LOW,1.31
Hefei10866.jpg,leakage,0.7262,LOW,1.18
Hefei10866.jpg,leakage,0.7137,LOW,1.3
Hefei10866.jpg,leakage,0.7115,LOW,1.37
Hefei10866.jpg,leakage,0.681,LOW,0.97
Hefei10866.jpg,leakage,0.6695,LOW,1.0
Hefei10866.jpg,leakage,0.664,LOW,1.03
Hefei10878.jpg,leakage,0.8228,LOW,4.66
Hefei10878.jpg,leakage,0.7576,LOW,0.9
Hefei10878.jpg,leakage,0.73,LOW,0.61
Hefei10878.jpg,leakage,0.7148,LOW,2.51
Hefei10878.jpg,leakage,0.6325,LOW,0.45
Hefei10878.jpg,leakage,0.5968,LOW,0.9
Hefei10878.jpg,leakage,0.5782,LOW,3.81
Hefei10878.jpg,leakage,0.5296,MEDIUM,6.44
Hefei10878.jpg,leakage,0.5086,LOW,4.43
Hefei10878.jpg,leakage,0.4588,LOW,0.21
Hefei10878.jpg,leakage,0.4224,HIGH,7.21
Hefei10878.jpg,leakage,0.316,HIGH,5.01
Hefei10878.jpg,leakage,0.2839,HIGH,2.51
Hefei10886.jpg,leakage,0.8295,LOW,4.62
